"Pipeline Name","Application Artifact","Application Name"
"cdh-sis-az-cd","web_Lighthouse1.Apps.Web.SecurityIdentityService","Lighthouse1.Apps.Web.SecurityIdentityService"
"cdh-sso-serviceprovider-az-cd","wexhealth.cdh.sso.serviceprovider","wexhealth.cdh.sso.serviceprovider"
"cdh-ssotest-az-cd","web_SSOLoginTestApp","SSOLoginTestApp"
"cdh-supporttools-az-cd","exe_tools","tools"
"cdh-taskhost-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-bankrpt01-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-baphv-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-comm01-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-debitcard1-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-debitcard2-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-debitcardevent-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-hsa01-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-wf01-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-wf02-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-wf03-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-taskhost-wf04-az-cd","winsvc_Lighthouse1.Apps.Service.TaskHost","Lighthouse1.Apps.Service.TaskHost"
"cdh-teststub-az-cd","web_Lighthouse1.Apps.Web.TestStub","Lighthouse1.Apps.Web.TestStub"
"cdh-tpasetup-az-cd","rds_LH1AdministratorSetup","LH1AdministratorSetup"
